PROM_ACT	D_EDAD	D_FINCON	PORC_DES	HIST_P	D_DURAC	TPROM4_2	MMODELO	TDEUDA	REGION_3	ADQUISI1	REST_AG1	RTIP_CTA	RESTADO	
154	537	193	0	7	1	3	3	3	2	3	2	3	1	
120	394	336	1	1	1	2	3	2	2	3	2	3	1	
260	687	43	0	1	1	1	3	1	2	3	2	1	1	
145	954	141	0	3	1	1	2	2	2	3	2	1	0	
207	738	357	0	1	1	1	2	1	2	3	1	1	1	
526	948	147	7	1	1	2	1	1	2	3	2	1	0	
984	552	178	0	7	1	1	2	1	2	3	2	1	1	
1	773	322	1	1	1	3	2	1	2	3	2	3	1	
174	940	155	0	1	1	2	3	3	2	3	2	3	1	
67	612	118	0	1	1	2	1	1	2	3	2	3	1	
23	364	1	4	1	1	1	2	1	2	3	2	3	1	
313	925	170	0	7	1	1	2	3	2	3	2	1	0	
308	651	79	0	1	3	1	1	1	2	2	2	1	0	
159	197	533	0	2	3	2	1	2	2	3	1	3	0	
57	154	576	1	1	3	1	2	1	2	2	2	3	1	
255	921	174	0	1	1	1	2	1	2	3	2	1	0	
139	372	358	0	7	1	1	2	3	2	3	2	1	1	
125	919	176	0	2	1	1	2	2	2	3	2	3	0	
117	909	186	0	1	1	2	2	1	2	3	3	3	0	
156	905	190	0	2	1	3	1	1	2	3	2	1	0	
316	904	191	0	7	1	1	2	3	2	3	3	2	0	
304	611	119	0	4	1	3	2	2	2	3	2	1	1	
55	888	207	0	1	1	1	2	2	2	3	3	4	0	
48	694	36	4	3	1	3	1	2	2	3	1	1	1	
133	886	209	0	1	1	2	2	1	2	3	3	1	0	
316	877	583	0	2	3	2	2	3	2	3	1	4	0	
85	638	92	4	5	1	1	1	1	2	3	2	3	1	
50	626	104	1	5	1	2	2	3	2	3	2	3	1	
182	294	71	0	7	1	3	2	3	2	3	2	3	1	
255	837	258	0	3	1	1	2	1	2	3	2	3	0	
48	834	626	0	1	3	2	2	1	2	3	1	1	0	
125	828	267	0	2	1	1	2	2	2	3	2	3	1	
112	823	272	0	2	1	1	1	1	2	3	1	3	0	
977	822	273	0	3	1	2	2	2	2	3	3	1	0	
5	272	93	4	6	1	1	1	1	2	3	3	1	1	
260	516	214	0	6	1	3	1	3	2	3	2	3	1	
269	176	554	0	1	3	1	2	3	2	3	1	3	0	
250	802	293	0	3	1	2	2	2	2	3	1	1	0	
310	791	304	0	1	1	1	1	1	2	3	2	3	0	
103	777	318	0	6	1	1	2	2	2	3	3	3	0	
241	961	499	0	1	3	1	2	1	2	3	3	1	0	
201	762	333	0	1	1	2	3	1	2	3	3	3	0	
162	758	337	0	1	1	1	2	1	2	3	2	1	0	
227	203	162	0	7	1	2	2	2	2	3	3	3	1	
565	200	165	0	7	1	1	2	3	2	3	1	3	1	
513	276	454	0	7	3	1	2	3	2	3	2	1	1	
94	739	721	0	5	3	3	2	1	2	3	2	3	0	
298	404	326	0	6	3	3	1	3	2	3	2	3	1	
32	176	554	0	1	3	1	1	2	2	2	1	3	1	
125	728	2	0	1	3	1	2	1	2	2	2	3	0	
80	398	332	0	1	3	1	2	1	2	2	2	3	1	
227	722	8	0	2	3	1	1	1	2	3	2	1	0	
53	283	447	0	7	3	3	1	3	2	2	2	3	1	
278	171	559	0	4	3	2	1	3	2	2	1	3	1	
145	674	56	0	2	3	1	2	1	2	3	2	3	1	
131	708	22	0	3	3	2	1	3	2	2	2	1	1	
202	717	13	0	1	3	1	2	1	2	3	3	3	0	
60	715	15	0	2	3	3	2	2	2	2	3	1	1	
60	715	15	0	1	3	2	2	1	2	2	2	3	0	
307	250	480	0	7	3	1	1	3	2	3	1	1	1	
86	714	16	0	1	3	1	2	1	2	2	2	3	0	
75	711	19	0	1	3	2	2	1	2	2	2	3	0	
315	699	31	0	2	3	3	2	3	2	2	3	3	1	
99	553	177	0	6	3	1	1	2	2	2	2	1	1	
18	709	21	0	1	3	1	1	1	2	3	1	1	0	
1775	159	571	0	7	3	1	1	3	2	2	2	3	1	
113	708	22	0	1	3	1	1	1	2	3	1	1	0	
143	707	23	0	1	3	1	1	1	2	2	1	4	0	
133	707	23	0	1	3	1	1	1	2	2	2	1	0	
368	705	25	0	1	3	1	2	1	2	2	2	4	0	
159	704	26	0	1	3	2	1	1	2	2	3	1	0	
458	693	37	0	1	3	1	2	1	2	3	1	1	1	
32	703	27	0	1	3	1	2	1	2	3	2	1	0	
355	151	579	0	7	3	1	2	2	2	2	2	3	1	
82	494	236	0	6	3	1	2	2	2	2	3	3	1	
230	374	356	0	1	3	2	2	1	2	2	2	1	1	
844	266	464	0	7	3	2	1	1	2	3	1	2	1	
206	696	34	0	1	3	1	1	1	2	3	3	1	0	
27	539	191	0	5	3	2	2	2	2	3	2	3	1	
94	396	334	0	7	3	1	2	3	2	3	2	3	1	
393	694	36	0	3	3	1	2	1	2	2	1	3	0	
192	456	274	0	6	3	2	2	2	2	3	2	1	1	
47	693	37	0	1	3	2	2	1	2	3	3	3	0	
17	690	40	1	2	3	3	1	2	2	2	2	3	0	
32	689	41	0	1	3	2	2	1	2	3	2	3	0	
26	688	42	0	4	3	1	2	1	2	2	2	1	0	
9	249	481	0	7	3	3	1	3	2	2	2	3	1	
272	138	592	0	7	3	2	2	2	2	3	2	3	1	
45	687	43	0	1	3	1	2	1	2	2	3	3	0	
248	138	592	0	7	3	2	1	1	2	2	2	3	1	
149	683	47	0	1	3	1	2	1	2	2	2	3	0	
304	681	49	0	1	3	1	1	1	2	2	2	3	0	
263	681	49	0	7	3	1	2	1	2	2	2	3	0	
1063	132	598	0	7	3	1	1	1	2	3	2	3	1	
137	216	514	0	5	3	1	1	1	2	3	2	3	1	
383	680	50	0	2	3	2	2	1	2	2	2	3	0	
250	679	51	0	3	3	3	1	2	2	3	2	1	1	
125	676	54	0	1	3	2	1	1	2	3	2	3	0	
137	676	54	0	2	3	1	3	1	2	2	2	1	0	
135	675	55	0	1	3	1	2	1	2	2	2	3	0	
429	675	55	0	1	1	2	1	1	2	3	2	1	0	
69	675	421	0	1	2	3	3	1	2	3	2	3	1	
72	444	286	0	5	1	2	2	2	2	2	2	3	1	
305	277	271	0	7	2	3	2	3	2	3	2	3	1	
82	668	62	0	1	1	3	2	1	2	2	2	3	0	
660	370	178	0	6	2	3	2	3	2	3	2	3	1	
607	203	345	0	7	2	1	2	3	2	3	2	3	1	
176	668	62	0	1	1	1	1	1	2	3	2	3	0	
71	666	430	2	4	2	3	2	1	2	2	2	3	0	
28	659	71	0	1	3	1	1	1	2	3	2	1	0	
125	658	72	0	1	3	1	3	1	2	3	2	3	0	
75	647	83	0	4	3	2	2	2	2	2	2	3	1	
104	658	72	0	1	3	1	2	1	2	3	2	1	0	
85	657	73	1	1	3	1	2	1	2	2	2	3	0	
63	515	215	1	1	3	1	2	1	2	3	2	3	1	
71	657	73	0	1	3	2	2	1	2	2	2	3	0	
504	142	588	0	7	3	2	1	3	2	3	2	1	1	
1558	161	387	0	7	2	3	2	3	2	2	2	3	1	
1048	140	590	1	7	3	1	3	3	2	3	2	3	1	
2	180	550	3	7	3	3	3	2	2	3	2	3	1	
786	180	368	0	7	2	1	1	3	2	3	2	3	1	
24	606	124	1	2	3	3	1	1	2	3	2	4	1	
52	641	89	0	1	3	1	1	2	2	2	2	3	0	
130	567	163	1	3	1	3	1	3	2	3	3	1	1	
102	637	93	0	1	3	1	1	1	2	3	1	1	0	
0	637	93	0	3	3	3	1	3	2	3	3	4	0	
125	633	97	1	1	3	2	1	1	2	2	2	1	0	
3	631	99	0	1	3	3	2	1	2	3	2	3	0	
3	586	144	0	1	3	3	2	2	2	2	2	3	1	
70	626	470	1	1	2	1	1	1	2	2	2	3	0	
139	362	368	0	6	3	3	1	3	2	3	1	1	1	
36	623	107	0	1	3	3	2	1	2	2	2	3	1	
155	623	473	1	6	2	1	2	2	2	2	2	3	0	
21	564	166	0	2	3	3	1	2	2	3	2	3	1	
50	330	400	1	5	3	3	2	3	2	3	2	3	1	
102	618	112	1	4	3	1	1	2	2	3	2	3	0	
40	617	113	0	4	3	2	2	2	2	2	2	3	0	
23	552	178	0	1	3	1	2	1	2	3	2	3	1	
60	612	484	0	1	2	2	2	1	2	2	1	1	0	
36	380	168	1	7	2	3	1	2	2	3	1	3	1	
31	609	487	1	2	2	1	2	1	2	3	2	3	0	
80	606	124	0	1	3	1	2	1	2	3	1	3	1	
3	605	125	0	3	3	1	2	1	2	3	2	3	0	
56	603	127	0	2	3	1	3	2	2	3	1	1	0	
100	601	129	0	1	3	1	1	1	2	2	1	1	0	
209	598	132	0	1	3	1	1	2	2	3	2	3	0	
29	531	199	0	1	3	1	1	1	2	1	2	3	1	
84	597	133	0	1	3	1	1	1	2	1	2	3	0	
109	295	435	0	1	3	2	1	1	2	3	2	3	1	
120	597	133	0	1	3	2	1	1	2	1	2	1	0	
157	597	133	0	1	3	1	1	1	2	1	2	1	0	
107	228	502	0	7	3	3	2	1	2	3	2	3	1	
173	595	135	0	1	3	1	1	1	2	1	2	3	0	
42	594	136	0	1	3	1	1	1	2	1	2	3	0	
93	592	138	0	1	3	1	3	1	2	3	2	3	0	
143	591	139	0	1	3	1	1	1	2	1	2	3	0	
14	527	203	0	4	3	3	1	2	2	1	2	3	1	
118	591	139	0	1	3	1	1	1	2	1	2	3	0	
51	591	139	0	1	3	1	1	1	2	1	2	3	0	
205	420	310	0	4	3	1	1	3	2	1	2	1	1	
125	378	352	0	2	3	1	1	1	2	1	2	3	1	
87	590	140	0	1	3	1	1	1	2	1	2	3	0	
13	590	140	0	1	3	1	1	1	2	1	2	3	0	
48	443	287	1	1	3	3	1	1	2	1	2	1	1	
